"Name","Author","AVG_Rating","AVG_Reviews","AVG_Price","Years_Count","Years_List","Genre"
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)","J. K. Rowling","4.900000095367432","7758.0000","18","1","2019","Fiction"
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)","J.K. Rowling","4.900000095367432","3146.0000","30","1","2017","Fiction"
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)","J.K. Rowling","4.900000095367432","10052.0000","22","1","2016","Fiction"
"Harry Potter Coloring Book","Scholastic","4.699999809265137","3564.0000","9","1","2015","Non Fiction"
"Harry Potter Paperback Box Set (Books 1-7)","J. K. Rowling","4.800000190734863","13471.0000","52","1","2016","Fiction"
"Have a Little Faith: A True Story","Mitch Albom","4.800000190734863","1930.0000","4","1","2009","Non Fiction"
"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back","Todd Burpo","4.699999809265137","15779.0000","10","2","2011,2012","Non Fiction"
"Hillbilly Elegy: A Memoir of a Family and Culture in Crisis","J. D. Vance","4.400000095367432","15526.0000","14","2","2016,2017","Non Fiction"
"Homebody: A Guide to Creating Spaces You Never Want to Leave","Joanna Gaines","4.800000190734863","3776.0000","22","1","2018","Non Fiction"
"How to Win Friends & Influence People","Dale Carnegie","4.699999809265137","25001.0000","11","5","2014,2015,2016,2017,2018","Non Fiction"
"Howard Stern Comes Again","Howard Stern","4.300000190734863","5272.0000","16","1","2019","Non Fiction"
"Humans of New York","Brandon Stanton","4.800000190734863","3490.0000","15","2","2013,2014","Non Fiction"
"Humans of New York : Stories","Brandon Stanton","4.900000095367432","2812.0000","17","1","2015","Non Fiction"
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened","Allie Brosh","4.699999809265137","4896.0000","17","1","2013","Non Fiction"
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls","Hopscotch Girls","4.800000190734863","9737.0000","7","1","2019","Non Fiction"
"I, Alex Cross","James Patterson","4.599999904632568","1320.0000","7","1","2009","Fiction"
"If Animals Kissed Good Night","Ann Whitford Paul","4.800000190734863","16643.0000","4","2","2017,2019","Fiction"
"If I Stay","Gayle Forman","4.300000190734863","7153.0000","9","1","2014","Fiction"
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin","Eric Larson","4.400000095367432","4571.0000","21","1","2011","Non Fiction"
"Inferno","Dan Brown","4.099999904632568","29651.0000","14","1","2013","Fiction"
"Inheritance: Book IV (Inheritance Cycle)","Christopher Paolini","4.599999904632568","5299.0000","20","1","2011","Fiction"
"Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…","Jennifer Smith","4.400000095367432","7396.0000","13","2","2018,2019","Non Fiction"
"It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered","Lysa TerKeurst","4.800000190734863","7062.0000","12","1","2019","Non Fiction"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","4.900000095367432","19576.0000","8","6","2011,2012,2013,2014,2015,2016","Non Fiction"
"JOURNEY TO THE ICE P","RH Disney","4.599999904632568","978.0000","0","1","2014","Fiction"
"Joyland (Hard Case Crime)","Stephen King","4.5","4748.0000","12","1","2013","Fiction"
"Killers of the Flower Moon: The Osage Murders and the Birth of the FBI","David Grann","4.599999904632568","8393.0000","17","1","2017","Non Fiction"
"Killing Jesus (Bill O'Reilly's Killing Series)","Bill O'Reilly","4.5","11391.0000","12","1","2013","Non Fiction"
"Killing Kennedy: The End of Camelot","Bill O'Reilly","4.599999904632568","8634.0000","25","1","2012","Non Fiction"
"Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series)","Bill O'Reilly","4.699999809265137","9342.0000","10","2","2011,2012","Non Fiction"
"Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series)","Bill O'Reilly","4.599999904632568","10927.0000","6","1","2014","Non Fiction"
"Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series)","Bill O'Reilly","4.599999904632568","5235.0000","5","1","2015","Non Fiction"
"Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series)","Bill O'Reilly","4.800000190734863","8916.0000","6","1","2016","Non Fiction"
"Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.)","Anthony Bourdain","4.800000190734863","2507.0000","8","1","2018","Non Fiction"
"Knock-Knock Jokes for Kids","Rob Elliott","4.5","3673.0000","4","3","2013,2014,2015","Non Fiction"
